sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
biax_tension_ogden_dp103,-0.028556614298999142,0.05119913963802676,1380.53,4.28512,og
biax_tension_ogden_dp104,-0.09849530248247597,0.0,1264.84,2.80878,og
biax_tension_ogden_dp105,-0.049335977024049224,0.0,2037.4,2.83025,og
biax_tension_ogden_dp106,-0.09161905917713105,0.0004468626758618582,1129.09,3.27252,og
biax_tension_ogden_dp107,-0.033487991373359734,0.0,168606.0,5.61121,og
biax_tension_ogden_dp108,-0.44372489183982716,0.21052091925479366,189.934,6.15459,og
biax_tension_ogden_dp109,1.7452744810710215,0.0,22.5277,9.30979,og
biax_tension_ogden_dp11,-0.060652273656628335,0.0,1563.17,5.99498,og
biax_tension_ogden_dp110,-0.03191976438245536,0.741340109840239,73.2862,7.04076,og
biax_tension_ogden_dp111,-0.1590712902035831,0.07078918372387563,176.768,6.22134,og
biax_tension_ogden_dp112,-0.03862161584551846,0.0,14206.8,3.26273,og
biax_tension_ogden_dp113,-0.020861238119253365,0.0,40424.8,5.70863,og
biax_tension_ogden_dp114,-0.08818567108587555,0.0,34512.0,5.69744,og
biax_tension_ogden_dp115,-0.030702242532477865,0.0,263589.0,5.57884,og
biax_tension_ogden_dp116,1.0664638328832927,0.04013840248738141,23.1045,9.53128,og
biax_tension_ogden_dp117,-0.018941880449048945,0.0032909308682584635,39480.5,5.64543,og
biax_tension_ogden_dp118,-0.029242156141371756,0.0,478.622,2.36829,og
biax_tension_ogden_dp119,-0.082555184112917,0.04782199404143911,1361.76,6.00972,og
biax_tension_ogden_dp12,-0.013553182520978979,0.2313800250496041,495.954,6.37996,og
biax_tension_ogden_dp120,-0.6354526050252522,0.0,1843.75,5.81311,og
biax_tension_ogden_dp121,-0.0370528406074269,0.0,75.9344,1.92624,og
biax_tension_ogden_dp122,-0.03516949488661006,0.0,23963.4,5.65671,og
biax_tension_ogden_dp123,-0.09488984667105807,0.24344805644646914,256.296,6.21386,og
biax_tension_ogden_dp124,-0.04191077084944463,0.36435505501639237,208.531,6.35556,og
biax_tension_ogden_dp125,-0.013176875645386076,0.6312211554649835,124.271,6.62014,og
biax_tension_ogden_dp126,-0.0286957827588906,0.0,47073.7,4.64248,og
