sample_name,total_curvature,curvature_ratio,final_strain,class
simple_shear_mooneyrivlin2_dp89,-0.004325401196154979,0.07823328580208287,116.127,mr
simple_shear_mooneyrivlin2_dp9,-0.033582076287939654,0.5246638444081317,22.7948,mr
simple_shear_mooneyrivlin2_dp90,-0.0028710015822712627,0.15011740609891144,134.672,mr
simple_shear_mooneyrivlin2_dp91,-0.003003030508040748,0.8098741912320225,58.5484,mr
simple_shear_mooneyrivlin2_dp92,-0.00594888784824166,0.1325592878129106,95.1201,mr
simple_shear_mooneyrivlin2_dp93,-0.007187127546747693,0.36065435262800305,72.2712,mr
simple_shear_mooneyrivlin2_dp94,-0.01421434766598048,0.41629692989435224,48.9986,mr
simple_shear_mooneyrivlin2_dp95,-0.003506979799593924,0.34511622447015305,104.165,mr
simple_shear_mooneyrivlin2_dp96,-0.007430340369047023,0.041207342539442325,91.4763,mr
simple_shear_mooneyrivlin2_dp97,-0.016654097235336184,0.06848281828985853,60.3291,mr
simple_shear_mooneyrivlin2_dp98,-0.002958516187922097,0.16261468086049044,131.353,mr
simple_shear_mooneyrivlin2_dp99,-0.00705148539738241,0.3362121118796894,74.4743,mr
simple_shear_ogden_dp0,-0.2131065946313775,0.0,47.6382,og
simple_shear_ogden_dp1,-0.13560598345659983,0.006432890907755951,40.265,og
simple_shear_ogden_dp10,-0.6178382619526415,0.0,188.775,og
simple_shear_ogden_dp100,-0.022504415473599156,0.0,355.639,og
simple_shear_ogden_dp101,-0.03152290896469075,0.0,185.9,og
simple_shear_ogden_dp102,-0.020653152472289032,0.0,510.928,og
simple_shear_ogden_dp103,-0.04434772346279536,0.0,118.8,og
simple_shear_ogden_dp104,-0.2158403345919989,0.0,222.098,og
simple_shear_ogden_dp105,-0.06265386123987321,0.0,355.773,og
simple_shear_ogden_dp106,-0.14080525694531773,0.0,102.74,og
simple_shear_ogden_dp107,-0.04879999870430186,0.0,543.122,og
simple_shear_ogden_dp108,-0.5723269867327221,0.0,46.3611,og
simple_shear_ogden_dp109,-0.07712927423383137,0.001250901450961139,38.7876,og
simple_shear_ogden_dp11,-0.11825201054206849,0.0,122.628,og
simple_shear_ogden_dp110,-0.03901618469132008,0.0,102.515,og
simple_shear_ogden_dp111,-0.2911865873767707,0.0,31.518,og
simple_shear_ogden_dp112,-0.062412615483922206,0.0,436.898,og
simple_shear_ogden_dp113,-0.04008540512675083,0.0,411.114,og
simple_shear_ogden_dp114,-0.19564344828238772,0.0,258.262,og
simple_shear_ogden_dp115,-0.03520811506676982,0.0,621.366,og
simple_shear_ogden_dp116,-0.01659612913760757,0.07042706319561598,70.0187,og
simple_shear_ogden_dp117,-0.02938821696868928,0.0,246.934,og
simple_shear_ogden_dp118,-0.051407379622370616,0.0,246.702,og
simple_shear_ogden_dp119,-0.09869505172280037,0.0,260.074,og
simple_shear_ogden_dp12,-0.01984538351361517,0.0,257.396,og
simple_shear_ogden_dp120,-1.0535152669073826,0.0,48.3868,og
simple_shear_ogden_dp121,-0.0899553301108247,0.0,196.071,og
simple_shear_ogden_dp122,-0.05722718297295925,0.0,178.245,og
simple_shear_ogden_dp123,-0.1309621985882508,0.0,124.254,og
simple_shear_ogden_dp124,-0.05666363389482065,0.0,128.808,og
simple_shear_ogden_dp125,-0.017270067872474985,0.003986246926219166,71.9914,og
simple_shear_ogden_dp126,-0.0380517152449656,0.0,313.899,og
simple_shear_ogden_dp127,-0.03171574361374009,0.0,93.1774,og
simple_shear_ogden_dp128,-0.09987492651602377,0.0,419.388,og
simple_shear_ogden_dp129,-0.3683618856517348,0.0,331.062,og
simple_shear_ogden_dp13,-0.04810517657771136,0.0,89.3087,og
simple_shear_ogden_dp130,-0.06811335657613182,0.0,119.712,og
simple_shear_ogden_dp131,-0.11870175109274336,0.0,594.721,og
simple_shear_ogden_dp132,-0.4493647235122771,0.0,193.188,og
simple_shear_ogden_dp133,-0.26464392856595015,0.0,111.681,og
simple_shear_ogden_dp134,-0.01505683992261294,0.0,154.604,og
simple_shear_ogden_dp135,-0.1547938278220533,0.0041210852114589944,48.8335,og
simple_shear_ogden_dp136,-1.4111960233384333,0.0,17.5827,og
simple_shear_ogden_dp137,-0.17129472671712642,0.0,334.105,og
simple_shear_ogden_dp138,-0.02346929973579904,0.0,235.418,og
simple_shear_ogden_dp139,-0.7799792891959453,0.0,389.738,og
simple_shear_ogden_dp14,-0.06105701466486035,0.0,209.721,og
simple_shear_ogden_dp140,-0.1740603106176493,0.0,134.316,og
simple_shear_ogden_dp141,-0.03185420642117362,0.0,230.635,og
simple_shear_ogden_dp142,-0.026476891709843877,0.2686455621671075,40.728,og
simple_shear_ogden_dp143,-0.04747546402641761,0.0,189.565,og
simple_shear_ogden_dp144,-1.1495498406419997,0.0,238.613,og
simple_shear_ogden_dp145,-0.07496363854451922,0.0,150.051,og
simple_shear_ogden_dp146,-0.1063339233846193,0.02924029022121961,30.7073,og
simple_shear_ogden_dp147,-0.34119845792877174,0.0,36.9234,og
simple_shear_ogden_dp148,-0.1358132458865857,0.0,184.79,og
simple_shear_ogden_dp149,-0.055286025196076165,0.0013884233620773377,53.7314,og
simple_shear_ogden_dp15,-0.10556301955038803,0.0004773603705954193,54.1455,og
simple_shear_ogden_dp150,-0.4063866101111553,0.0,321.677,og
simple_shear_ogden_dp151,-0.05663788487588443,0.0,60.6695,og
simple_shear_ogden_dp153,-0.05351227765188651,0.0,80.6509,og
simple_shear_ogden_dp154,-0.24836576462987373,0.0,55.8425,og
simple_shear_ogden_dp156,-0.04465484867236711,0.0008643244484698728,64.725,og
simple_shear_ogden_dp157,-0.6028269927844443,0.0,247.586,og
simple_shear_ogden_dp158,-0.9471386531318362,0.5623026759051761,35.7469,og
simple_shear_ogden_dp159,-0.8868598919262342,0.0,49.4708,og
simple_shear_ogden_dp16,-0.10880980011311032,0.0,60.5277,og
simple_shear_ogden_dp160,-0.04719831145523215,0.0,351.221,og
simple_shear_ogden_dp161,-0.051208601350931006,0.0,81.6178,og
simple_shear_ogden_dp162,-1.9960795525793311,0.0,67.1162,og
simple_shear_ogden_dp163,-0.03248994253259368,0.0,128.519,og
simple_shear_ogden_dp164,-0.035083386267194726,0.0,124.244,og
simple_shear_ogden_dp165,-1.2245406991403018,0.0,94.9737,og
simple_shear_ogden_dp166,-0.020445179159205327,0.0033610195596081084,78.359,og
simple_shear_ogden_dp167,-0.02733166696608253,0.0,465.694,og
simple_shear_ogden_dp168,-0.04973432413253327,0.00490155578692272,45.2021,og
simple_shear_ogden_dp169,-0.1175170614180409,0.0,63.5257,og
simple_shear_ogden_dp17,-0.023999078190451238,0.0,805.16,og
simple_shear_ogden_dp170,-1.0083209971135811,0.0,118.242,og
simple_shear_ogden_dp171,-0.0375891611169308,0.0,157.432,og
simple_shear_ogden_dp172,-0.3337125457769906,0.0,184.36,og
simple_shear_ogden_dp173,-0.03552717161960805,0.0,639.486,og
simple_shear_ogden_dp174,-0.01601082440085248,0.0,418.788,og
simple_shear_ogden_dp175,-0.07733322610265882,0.0,122.561,og
simple_shear_ogden_dp176,-0.030170084041540417,0.0,180.258,og
simple_shear_ogden_dp177,-0.17858654410574193,0.0,123.175,og
simple_shear_ogden_dp178,-0.03771428522591359,0.0,319.673,og
simple_shear_ogden_dp179,-0.0482100171059416,0.0,335.794,og
simple_shear_ogden_dp18,-0.06045217817246227,0.0,62.1463,og
simple_shear_ogden_dp180,-0.018013747272177975,0.0,113.203,og
simple_shear_ogden_dp181,-0.05805762532697061,0.0,163.83,og
simple_shear_ogden_dp182,-0.409928913800568,0.0003329502767648039,60.4026,og
simple_shear_ogden_dp183,-1.13033955728616,0.0,179.365,og
simple_shear_ogden_dp184,-0.10721370419070175,0.0,589.956,og
simple_shear_ogden_dp185,-0.08391655399140825,0.0,77.7696,og
simple_shear_ogden_dp186,-0.10047598620281097,0.0,253.869,og
simple_shear_ogden_dp188,-0.1092462959564365,0.0,208.546,og
simple_shear_ogden_dp189,-0.030278698189939245,0.0,176.043,og
simple_shear_ogden_dp19,-0.04314613263688975,0.0007213960134325841,61.91,og
simple_shear_ogden_dp190,-0.016413622667045207,0.0,692.483,og
simple_shear_ogden_dp191,-0.07315406979605393,0.0,501.592,og
simple_shear_ogden_dp193,-71.52790753425114,0.0,113.134,og
simple_shear_ogden_dp194,-0.03786977755620695,0.0,109.403,og
simple_shear_ogden_dp195,-0.04450067624654213,0.0,102.041,og
simple_shear_ogden_dp196,-0.07128752930425106,0.0,244.709,og
simple_shear_ogden_dp197,-3.6930309525029634,0.0,55.489,og
simple_shear_ogden_dp198,-0.12044014375115622,0.0,300.753,og
simple_shear_ogden_dp199,-0.13308701481275487,0.0,68.702,og
simple_shear_ogden_dp2,-1.4364567081040949,0.20463246296492185,22.9864,og
simple_shear_ogden_dp20,-0.09397068667457426,0.08737740945905707,25.5407,og
simple_shear_ogden_dp21,-0.07581404433324895,0.0022116526043022768,59.2075,og
simple_shear_ogden_dp22,-0.07705054987917402,0.0,367.129,og
simple_shear_ogden_dp23,-0.9175903668420493,0.0,75.3867,og
simple_shear_ogden_dp24,-0.21148538717599538,0.0,292.911,og
simple_shear_ogden_dp25,-34.36718438977946,0.0,22.536,og
simple_shear_ogden_dp26,-0.09510122001433685,0.0,254.508,og
simple_shear_ogden_dp27,-0.016682685557943,0.0,346.116,og
simple_shear_ogden_dp28,-0.4178404853223651,0.0,188.12,og
simple_shear_ogden_dp29,-0.03950060511871607,0.0,314.019,og
simple_shear_ogden_dp3,-0.012645521762781851,0.13898056795555958,68.0271,og
simple_shear_ogden_dp30,-0.547110948038068,0.0,37.004,og
simple_shear_ogden_dp31,-4.4208787778893575,0.0,238.042,og
simple_shear_ogden_dp32,-0.02313992396210403,0.0,76.8674,og
simple_shear_ogden_dp33,-0.041152700942070734,0.0,580.496,og
simple_shear_ogden_dp34,-0.17473091680286126,0.0,43.8786,og
simple_shear_ogden_dp35,-0.045833970523442326,0.0,127.646,og
simple_shear_ogden_dp36,-0.05732002493225682,0.0,133.697,og
simple_shear_ogden_dp37,-6.151219566928981,0.0,310.537,og
simple_shear_ogden_dp38,-0.11199123250771972,0.0,51.7578,og
simple_shear_ogden_dp39,-0.04891073767318662,0.0,102.485,og
simple_shear_ogden_dp4,-0.04134485720248652,0.0,309.276,og
simple_shear_ogden_dp40,-0.048332606622789244,0.0,140.307,og
simple_shear_ogden_dp41,-0.040011216977815824,0.0,336.018,og
simple_shear_ogden_dp43,-0.020219391594708293,0.00033641730029074365,71.7677,og
simple_shear_ogden_dp45,-0.1082634837256922,0.0,190.741,og
simple_shear_ogden_dp46,-0.13725793367332262,0.0,38.1834,og
simple_shear_ogden_dp47,-0.048466293122101906,0.0,220.88,og
simple_shear_ogden_dp48,-2.6224406832389637,0.0,43.6957,og
simple_shear_ogden_dp49,-0.6527153192673737,0.0,101.439,og
simple_shear_ogden_dp5,-17.39128593241822,0.0,35.4446,og
simple_shear_ogden_dp50,-0.02023606843635011,0.0,576.962,og
simple_shear_ogden_dp51,-0.3642477721176414,0.0,296.831,og
simple_shear_ogden_dp52,-0.06495096205999079,0.0005967998351989678,61.1027,og
