sample_name,total_curvature,final_strain,class
planar_compression_ogden_dp195,-0.1730608803595379,-33.0422,og
planar_compression_ogden_dp196,-0.27204017928634805,-58.7554,og
planar_compression_ogden_dp197,-14.031567435126986,-12.8944,og
planar_compression_ogden_dp198,-0.45956788230362566,-63.7803,og
planar_compression_ogden_dp199,-0.5150114078510355,-21.9387,og
planar_compression_ogden_dp2,-5.810087074842597,-7.69491,og
planar_compression_ogden_dp20,-0.6635229302428767,-10.742,og
planar_compression_ogden_dp21,-0.29636266763973107,-19.639,og
planar_compression_ogden_dp22,-0.2939139408366822,-75.1555,og
planar_compression_ogden_dp23,-3.5043627777604027,-15.1428,og
planar_compression_ogden_dp24,-0.7388226700959492,-83.9392,og
planar_compression_ogden_dp25,-124.4823471815825,-5.05136,og
planar_compression_ogden_dp26,-0.3629848923710912,-57.953,og
planar_compression_ogden_dp27,-0.06349958468293368,-116.237,og
planar_compression_ogden_dp28,-1.5645203866996085,-42.1872,og
planar_compression_ogden_dp29,-0.15048903695334304,-70.9018,og
planar_compression_ogden_dp3,-0.09834000777422938,-30.3687,og
planar_compression_ogden_dp30,-2.1048791601330676,-10.8424,og
planar_compression_ogden_dp31,-16.589645211449557,-40.5099,og
planar_compression_ogden_dp32,-0.10775268756190506,-30.5576,og
planar_compression_ogden_dp33,-0.1569290007497431,-118.316,og
planar_compression_ogden_dp34,-0.6944186580906315,-15.4055,og
planar_compression_ogden_dp35,-0.17613315795766352,-38.198,og
planar_compression_ogden_dp36,-0.21977849086149032,-38.3276,og
planar_compression_ogden_dp37,-23.102943966797472,-53.1318,og
planar_compression_ogden_dp38,-0.4431745638569486,-17.8328,og
planar_compression_ogden_dp39,-0.18975467371932547,-32.703,og
planar_compression_ogden_dp4,-0.15771275853416983,-73.8525,og
planar_compression_ogden_dp40,-0.18509010506732476,-39.2341,og
planar_compression_ogden_dp41,-0.15245426932603537,-77.4527,og
planar_compression_ogden_dp42,-14.153149852382267,-43.5387,og
planar_compression_ogden_dp43,-0.10682916963053493,-29.4541,og
planar_compression_ogden_dp44,-0.13004528035445723,-78.022,og
planar_compression_ogden_dp45,-0.41310133550130945,-61.422,og
planar_compression_ogden_dp46,-0.5874421266119817,-14.5683,og
planar_compression_ogden_dp47,-0.18489716380637286,-61.0314,og
planar_compression_ogden_dp48,-9.99250157172843,-10.7839,og
planar_compression_ogden_dp49,-2.4531433181401674,-24.5769,og
planar_compression_ogden_dp5,-64.5305909602079,-8.64258,og
planar_compression_ogden_dp50,-0.07691278781753078,-125.576,og
planar_compression_ogden_dp51,-1.3900678511325386,-54.3339,og
planar_compression_ogden_dp52,-0.260798806802153,-21.5674,og
planar_compression_ogden_dp53,-0.1649818327414892,-103.586,og
planar_compression_ogden_dp54,-0.24871509914544,-71.4782,og
planar_compression_ogden_dp55,-0.23932360720616996,-23.3121,og
planar_compression_ogden_dp56,-0.10282220005761637,-163.562,og
planar_compression_ogden_dp57,-6.390527138298874,-22.2902,og
planar_compression_ogden_dp58,-0.7348762256417711,-9.99691,og
planar_compression_ogden_dp59,-0.23471778683659664,-50.4435,og
planar_compression_ogden_dp6,-0.36164092516203444,-75.3953,og
planar_compression_ogden_dp60,-1.4896057960697509,-27.5809,og
planar_compression_ogden_dp61,-0.207716860602795,-84.9838,og
planar_compression_ogden_dp62,-3.8722827504707067,-4.46117,og
planar_compression_ogden_dp63,-0.06495149594107683,-157.268,og
planar_compression_ogden_dp64,-0.32456791986110906,-40.2851,og
planar_compression_ogden_dp65,-0.29000708071285836,-36.4113,og
planar_compression_ogden_dp66,-0.09462262101445747,-37.0956,og
planar_compression_ogden_dp67,-0.0807402621379574,-150.448,og
planar_compression_ogden_dp68,-0.10540994904227322,-28.3695,og
planar_compression_ogden_dp69,-1.0242435930175813,-33.6371,og
planar_compression_ogden_dp7,-0.4761512208308707,-36.6123,og
planar_compression_ogden_dp70,-0.09889212905510127,-120.051,og
planar_compression_ogden_dp71,-0.3098872287651935,-75.8318,og
planar_compression_ogden_dp72,-0.1624773704848537,-101.514,og
planar_compression_ogden_dp73,-0.5495231348874685,-23.8711,og
planar_compression_ogden_dp74,-17.70716314226498,-36.2084,og
planar_compression_ogden_dp75,-0.18480560485303732,-76.0211,og
planar_compression_ogden_dp76,-1.5337265398996327,-43.8476,og
planar_compression_ogden_dp77,-0.07435991437593532,-150.623,og
planar_compression_ogden_dp78,-0.09017687935260471,-61.1563,og
planar_compression_ogden_dp79,-1.181489323248364,-68.7227,og
planar_compression_ogden_dp8,-0.3744167331384907,-41.5354,og
planar_compression_ogden_dp80,-0.6354707626475148,-17.2898,og
planar_compression_ogden_dp81,-0.5563761132176614,-95.8456,og
planar_compression_ogden_dp82,-0.7584993077372516,-14.2319,og
planar_compression_ogden_dp83,-0.7026537483017904,-64.4773,og
planar_compression_ogden_dp84,-0.3113108784546158,-70.7277,og
planar_compression_ogden_dp85,-0.3035737418786818,-30.0711,og
planar_compression_ogden_dp86,-1.068093549627848,-65.2043,og
planar_compression_ogden_dp87,-0.43624283574341705,-39.2645,og
planar_compression_ogden_dp88,-0.16168753471508612,-61.8377,og
planar_compression_ogden_dp89,-0.052136836502834114,-268.819,og
planar_compression_ogden_dp9,-3.0244477937030267,-60.845,og
planar_compression_ogden_dp90,-0.10536043756756333,-153.582,og
planar_compression_ogden_dp91,-0.41839906799025095,-25.2514,og
planar_compression_ogden_dp92,-0.08619367134973459,-83.486,og
planar_compression_ogden_dp93,-0.07716035978438729,-93.3681,og
planar_compression_ogden_dp94,-1.303489900256358,-20.0335,og
planar_compression_ogden_dp95,-0.962014179138882,-25.0619,og
planar_compression_ogden_dp96,-0.14399656564919655,-43.8001,og
planar_compression_ogden_dp97,-0.0778333412745861,-44.1902,og
planar_compression_ogden_dp98,-0.6909320230598456,-60.6095,og
planar_compression_ogden_dp99,-0.4084172452414771,-19.4659,og
